sujeto,grupo,region,banda,potencia
80,EXP,frontal,beta,1.4126254628058603e-11
80,EXP,frontal,delta,1.5428781878312794e-11
80,EXP,frontal,theta,1.3469165569597774e-11
80,EXP,occipital,alfa,3.112938119901958e-11
80,EXP,occipital,beta,4.129266519577597e-12
80,EXP,occipital,delta,5.961022496705539e-12
80,EXP,occipital,theta,5.182482390858485e-12
80,EXP,parietal,alfa,1.431974241357265e-11
80,EXP,parietal,beta,3.74305837426522e-12
80,EXP,parietal,delta,4.1796420378651575e-12
80,EXP,parietal,theta,4.26855003792371e-12
